"측정일시","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"201711202300","강남구","0.054","0.002","0.8","0.006","48","32"
"201711202200","강남구","0.053","0.002","0.7","0.005","50","33"
"201711202100","강남구","0.056","0.002","0.8","0.006","49","33"
"201711202000","강남구","0.054","0.002","0.7","0.006","50","30"
"201711201900","강남구","0.053","0.002","0.7","0.006","45","29"
"201711201800","강남구","0.053","0.002","0.6","0.005","44","27"
"201711201700","강남구","0.052","0.003","0.6","0.007","40","26"
"201711201600","강남구","0.049","0.004","0.5","0.005","38","23"
"201711201500","강남구","0.045","0.005","0.5","0.006","34","21"
"201711201400","강남구","0.045","0.005","0.5","0.006","33","22"
"201711201300","강남구","0.046","0.004","0.5","0.005","29","17"
"201711201200","강남구","0.039","0.009","0.5","0.005","23","11"
"201711201100","강남구","0.033","0.01","0.5","0.006","24","12"
"201711201000","강남구","0.039","0.006","0.5","0.006","28","17"
"201711200900","강남구","0.042","0.004","0.6","0.006","27","18"
"201711200800","강남구","0.044","0.002","0.5","0.005","25","14"
"201711200700","강남구","0.034","0.007","0.5","0.005","24","17"
"201711200600","강남구","0.023","0.013","0.5","0.006","29","22"
"201711200500","강남구","0.016","0.018","0.5","0.006","24","18"
"201711200400","강남구","0.014","0.019","0.4","0.005","24","17"
"201711200300","강남구","0.012","0.021","0.4","0.005","26","16"
"201711200200","강남구","0.014","0.021","0.4","0.005","23","14"
"201711200100","강남구","0.014","0.021","0.4","0.005","26","14"
"201711200000","강남구","0.017","0.018","0.4","0.005","28","14"
"201711192300","강남구","0.019","0.018","0.4","0.006","25","13"
"201711192200","강남구","0.038","0.008","0.5","0.005","29","14"
"201711192100","강남구","0.038","0.008","0.4","0.005","27","13"
"201711192000","강남구","0.031","0.012","0.4","0.005","25","13"
"201711191900","강남구","0.025","0.016","0.4","0.005","25","14"
"201711191800","강남구","0.026","0.016","0.4","0.004","27","12"
"201711191700","강남구","0.016","0.021","0.3","0.006","26","14"
"201711191600","강남구","0.016","0.021","0.4","0.004","23","13"
"201711191500","강남구","0.012","0.022","0.3","0.005","19","11"
"201711191400","강남구","0.012","0.023","0.3","0.005","17","11"
"201711191300","강남구","0.015","0.019","0.3","0.005","21","11"
"201711191200","강남구","0.016","0.018","0.3","0.005","19","9"
"201711191100","강남구","0.025","0.012","0.4","0.006","18","10"
"201711191000","강남구","0.03","0.008","0.5","0.005","19","11"
"201711190900","강남구","0.031","0.006","0.4","0.006","20","10"
"201711190800","강남구","0.031","0.004","0.4","0.005","20","12"
"201711190700","강남구","0.019","0.012","0.4","0.005","18","10"
"201711190600","강남구","0.013","0.015","0.4","0.006","21","13"
"201711190500","강남구","0.01","0.018","0.4","0.005","18","9"
"201711190400","강남구","0.01","0.016","0.4","0.004","17","10"
"201711190300","강남구","0.011","0.018","0.3","0.004","19","10"
"201711190200","강남구","0.011","0.018","0.3","0.005","18","11"
"201711190100","강남구","0.015","0.016","0.4","0.004","19","9"
"201711190000","강남구","0.016","0.015","0.3","0.005","20","11"
"201711182300","강남구","0.015","0.016","0.3","0.004","20","9"
"201711182200","강남구","0.016","0.017","0.3","0.004","21","9"
"201711182100","강남구","0.019","0.015","0.4","0.005","20","10"
"201711182000","강남구","0.019","0.016","0.3","0.004","23","10"
"201711181900","강남구","0.026","0.012","0.4","0.004","23","10"
"201711181800","강남구","0.024","0.014","0.3","0.005","29","10"
"201711181700","강남구","0.019","0.017","0.3","0.004","32","12"
"201711181600","강남구","0.014","0.02","0.3","0.006","34","12"
"201711181500","강남구","0.013","0.02","0.3","0.005","36","10"
"201711181400","강남구","0.014","0.018","0.3","0.005","34","10"
"201711181300","강남구","0.014","0.018","0.3","0.006","31","12"
"201711181200","강남구","0.013","0.018","0.3","0.005","26","10"
"201711181100","강남구","0.013","0.019","0.3","0.006","22","13"
"201711181000","강남구","0.014","0.018","0.4","0.005","26","17"
"201711180900","강남구","0.017","0.017","0.4","0.004","28","19"
"201711180800","강남구","0.019","0.014","0.4","0.005","31","23"
"201711180700","강남구","0.017","0.016","0.4","0.005","36","28"
"201711180600","강남구","0.011","0.02","0.4","0.005","47","41"
"201711180500","강남구","0.01","0.02","0.4","0.004","66","57"
"201711180400","강남구","0.012","0.018","0.5","0.006","73","66"
"201711180300","강남구","0.012","0.017","0.6","0.005","67","55"
"201711180200","강남구","0.013","0.017","0.5","0.005","48","36"
"201711180100","강남구","0.016","0.015","0.5","0.005","42","34"
"201711180000","강남구","0.027","0.008","0.5","0.005","47","37"
"201711172300","강남구","0.046","0.002","0.6","0.006","51","33"
"201711242300","강동구","0.046","0.005","0.6","0.004","23","16"
"201711242200","강동구","0.036","0.008","0.5","0.004","24","17"
"201711242100","강동구","0.031","0.013","0.5","0.003","27","18"
"201711242000","강동구","0.031","0.013","0.5","0.004","24","11"
"201711241900","강동구","0.029","0.014","0.4","0.004","23","12"
"201711241800","강동구","0.026","0.017","0.4","0.004","20","16"
"201711241700","강동구","0.019","0.021","0.4","0.004","20","9"
"201711241600","강동구","0.015","0.024","0.4","0.004","25","16"
"201711241500","강동구","","","","","20","9"
"201711241400","강동구","","","","","21","5"
"201711241300","강동구","0.02","0.018","0.4","0.004","27","15"
"201711241200","강동구","0.042","0.007","0.6","0.005","44","31"
"201711241100","강동구","0.049","0.004","0.8","0.005","38","31"
"201711241000","강동구","0.047","0.003","0.8","0.005","35","23"
"201711240900","강동구","0.046","0.002","0.8","0.004","32","24"
"201711240800","강동구","0.045","0.002","0.7","0.005","28","20"
"201711240700","강동구","0.039","0.002","0.6","0.004","19","15"
"201711240600","강동구","0.032","0.005","0.5","0.003","22","15"
"201711240500","강동구","0.024","0.01","0.4","0.003","19","13"
"201711240400","강동구","0.023","0.011","0.4","0.003","20","14"
"201711240300","강동구","0.022","0.013","0.4","0.004","18","15"
"201711240200","강동구","0.031","0.008","0.4","0.004","23","13"
"201711240100","강동구","0.035","0.007","0.4","0.004","20","9"
"201711240000","강동구","0.036","0.008","0.4","0.004","25","11"
"201711232300","강동구","0.033","0.011","0.4","0.004","21","12"
"201711232200","강동구","0.04","0.006","0.5","0.004","25","10"
"201711232100","강동구","0.036","0.009","0.5","0.003","26","15"
"201711232000","강동구","0.037","0.009","0.5","0.004","28","13"
"201711231900","강동구","0.035","0.01","0.4","0.004","23","7"
"201711231800","강동구","0.03","0.014","0.4","0.004","32","11"
"201711231700","강동구","0.025","0.019","0.3","0.004","27","15"
"201711231600","강동구","0.018","0.023","0.3","0.004","22","9"
"201711231500","강동구","0.016","0.025","0.4","0.004","30","12"
"201711231400","강동구","0.013","0.026","0.4","0.005","27","14"
"201711231300","강동구","0.013","0.026","0.4","0.005","23","8"
"201711231200","강동구","0.025","0.018","0.4","0.004","37","17"
"201711231100","강동구","0.046","0.007","0.7","0.005","63","21"
"201711231000","강동구","0.064","0.002","1","0.006","63","30"
"201711230900","강동구","0.054","0.002","0.9","0.006","","21"
"201711230800","강동구","0.055","0.002","0.8","0.005","32","15"
"201711230700","강동구","0.042","0.004","0.6","0.005","31","17"
"201711230600","강동구","0.037","0.006","0.5","0.004","28","13"
"201711230500","강동구","0.032","0.008","0.5","0.004","27","10"
"201711230400","강동구","0.02","0.019","0.4","0.004","28","11"
"201711230300","강동구","0.01","0.026","0.4","0.005","25","15"
"201711230200","강동구","0.017","0.023","0.4","0.005","28","14"
"201711230100","강동구","0.027","0.016","0.5","0.004","22","7"
"201711230000","강동구","0.02","0.022","0.4","0.004","24","11"
"201711222300","강동구","0.021","0.022","0.4","0.004","23","9"
"201711222200","강동구","0.018","0.024","0.4","0.004","32","11"
"201711222100","강동구","0.02","0.022","0.4","0.004","53","19"
"201711222000","강동구","0.024","0.02","0.4","0.004","137","23"
"201711221900","강동구","0.026","0.02","0.5","0.004","180","33"
"201711221800","강동구","0.032","0.02","0.6","0.004","178","56"
"201711221700","강동구","0.035","0.023","0.7","0.006","144","51"
"201711221600","강동구","0.029","0.03","0.7","0.006","122","45"
"201711221500","강동구","0.046","0.012","0.8","0.005","77","34"
"201711221400","강동구","0.061","0.004","0.7","0.005","66","30"
"201711221300","강동구","0.051","0.009","0.7","0.005","47","21"
"201711221200","강동구","0.051","0.007","0.7","0.005","58","28"
"201711221100","강동구","0.052","0.004","0.7","0.005","67","27"
"201711221000","강동구","0.061","0.003","0.8","0.005","66","30"
"201711220900","강동구","0.055","0.002","0.8","0.005","","29"
"201711220800","강동구","0.056","0.002","0.7","0.005","50","29"
"201711220700","강동구","0.05","0.002","0.6","0.006","42","24"
"201711220600","강동구","0.048","0.002","0.5","0.005","40","24"
"201711220500","강동구","0.049","0.002","0.6","0.005","52","32"
"201711220400","강동구","0.05","0.002","0.7","0.004","55","38"
"201711220300","강동구","0.049","0.002","0.7","0.004","50","28"
"201711220200","강동구","0.05","0.002","0.7","0.004","63","39"
"201711220100","강동구","0.057","0.002","0.8","0.005","61","39"
"201711220000","강동구","0.057","0.002","0.8","0.005","74","42"
"201711212300","강동구","0.064","0.002","0.9","0.005","89","57"
"201711212200","강동구","0.073","0.002","1.1","0.005","107","58"
"201711212100","강동구","0.078","0.002","1.1","0.005","92",""
"201711212000","강동구","0.074","0.002","1.1","0.006","77","43"
"201711211900","강동구","0.066","0.002","0.8","0.005","55","16"
"201711211800","강동구","0.061","0.002","0.7","0.005","40","26"
"201711211700","강동구","0.053","0.006","0.6","0.005","46","19"
"201711211600","강동구","0.049","0.009","0.6","0.005","48","21"
"201711211500","강동구","0.049","0.011","0.7","0.006","50","20"
"201711211400","강동구","0.041","0.013","0.6","0.005","47","25"
"201711211300","강동구","0.042","0.01","0.6","0.006","64","24"
"201711211200","강동구","0.042","0.008","0.7","0.005","58","30"
"201711211100","강동구","0.037","0.007","0.6","0.004","64","18"
"201711211000","강동구","0.037","0.005","0.7","0.004","68","30"
"201711210900","강동구","0.05","0.003","0.7","0.004","62","23"
"201711210800","강동구","0.047","0.002","0.8","0.005","40","19"
"201711210700","강동구","0.041","0.002","0.8","0.004","52","35"
"201711210600","강동구","0.04","0.002","0.8","0.004","49","28"
"201711210500","강동구","0.039","0.002","0.7","0.004","50","37"
"201711210400","강동구","0.044","0.002","0.8","0.004","51","31"
"201711210300","강동구","0.047","0.002","0.7","0.004","62","37"
"201711210200","강동구","0.05","0.002","0.9","0.004","69","40"
"201711210100","강동구","0.056","0.002","0.9","0.004","59","34"
"201711210000","강동구","0.052","0.002","0.7","0.004","59","36"
"201711202300","강동구","0.054","0.002","0.8","0.004","68","40"
"201711202200","강동구","0.06","0.002","0.8","0.004","76","51"
"201711202100","강동구","0.059","0.002","0.8","0.005","75","44"
"201711202000","강동구","0.059","0.002","0.7","0.005","66","30"
"201711201900","강동구","0.057","0.002","0.7","0.004","58","22"
"201711201800","강동구","0.056","0.002","0.6","0.004","67","28"
"201711201700","강동구","0.056","0.003","0.6","0.005","61","33"
"201711201600","강동구","0.054","0.003","0.6","0.005","",""
"201711201500","강동구","0.052","0.004","0.6","0.005","52","19"
"201711201400","강동구","0.05","0.004","0.6","0.005","35","17"
"201711201300","강동구","0.046","0.006","0.5","0.005","31","11"
"201711201200","강동구","0.033","0.015","0.5","0.005","31","13"
"201711201100","강동구","0.036","0.012","0.6","0.005","34","14"
"201711201000","강동구","0.041","0.008","0.6","0.005","44","15"
"201711200900","강동구","0.045","0.005","0.7","0.005","40","17"
"201711200800","강동구","0.048","0.003","0.6","0.005","33","14"
"201711200700","강동구","0.041","0.005","0.5","0.004","31","17"
"201711200600","강동구","0.037","0.007","0.5","0.004","23","9"
"201711200500","강동구","0.024","0.018","0.5","0.004","25","15"
"201711200400","강동구","0.027","0.016","0.5","0.004","24","11"
"201711200300","강동구","0.017","0.025","0.4","0.004","24","13"
"201711200200","강동구","0.012","0.029","0.4","0.004","26","14"
"201711200100","강동구","0.015","0.028","0.4","0.004","23","11"
"201711200000","강동구","0.015","0.027","0.4","0.004","27","11"
"201711192300","강동구","0.018","0.024","0.4","0.004","35","10"
"201711192200","강동구","0.045","0.008","0.5","0.005","29","12"
"201711192100","강동구","0.038","0.012","0.5","0.005","32","14"
"201711192000","강동구","0.029","0.018","0.4","0.005","25","10"
"201711191900","강동구","0.03","0.017","0.4","0.004","26","5"
"201711191800","강동구","0.019","0.026","0.4","0.004","32","12"
"201711191700","강동구","0.019","0.025","0.4","0.004","31","9"
"201711191600","강동구","0.015","0.029","0.4","0.004","24","7"
"201711191500","강동구","0.01","0.032","0.3","0.004","23","6"
"201711191400","강동구","0.012","0.029","0.4","0.004","19","9"
"201711191300","강동구","0.014","0.026","0.4","0.005","17","7"
"201711191200","강동구","0.015","0.025","0.4","0.005","18","6"
"201711191100","강동구","0.031","0.012","0.5","0.005","29","8"
"201711191000","강동구","0.03","0.01","0.5","0.004","21","11"
"201711190900","강동구","0.029","0.009","0.5","0.005","17","7"
"201711190800","강동구","0.028","0.009","0.4","0.004","23","6"
"201711190700","강동구","0.026","0.009","0.5","0.004","21","10"
"201711190600","강동구","0.016","0.017","0.4","0.004","17","7"
"201711190500","강동구","0.012","0.022","0.4","0.004","19","7"
"201711190400","강동구","0.014","0.02","0.4","0.003","18","9"
"201711190300","강동구","0.015","0.02","0.4","0.005","22","9"
"201711190200","강동구","0.014","0.021","0.4","0.005","16","7"
"201711190100","강동구","0.016","0.02","0.4","0.004","25","12"
"201711190000","강동구","0.017","0.02","0.4","0.004","22","7"
"201711182300","강동구","0.016","0.021","0.4","0.003","23","9"
"201711182200","강동구","0.017","0.021","0.4","0.004","22","8"
"201711182100","강동구","0.017","0.021","0.4","0.004","20","8"
"201711182000","강동구","0.019","0.02","0.4","0.004","27","8"
"201711181900","강동구","0.023","0.019","0.4","0.004","28","4"
"201711181800","강동구","0.025","0.017","0.4","0.004","39","12"
"201711181700","강동구","0.018","0.022","0.4","0.004","41","6"
"201711181600","강동구","0.016","0.024","0.4","0.004","47","9"
"201711181500","강동구","0.014","0.024","0.4","0.005","46","6"
"201711181400","강동구","0.014","0.024","0.4","0.005","34","5"
"201711181300","강동구","0.011","0.026","0.3","0.004","37","10"
"201711181200","강동구","0.015","0.024","0.4","0.005","22","8"
"201711181100","강동구","0.013","0.024","0.4","0.004","31","14"
"201711181000","강동구","0.02","0.023","0.4","0.004","34","13"
"201711180900","강동구","0.016","0.022","0.4","0.003","30","18"
"201711180800","강동구","0.02","0.02","0.4","0.004","32","21"
"201711180700","강동구","0.018","0.023","0.4","0.004","44","30"
"201711180600","강동구","0.014","0.024","0.5","0.004","59","46"
"201711180500","강동구","0.014","0.022","0.6","0.004","78","50"
"201711180400","강동구","0.014","0.022","0.6","0.004","62","43"
"201711180300","강동구","0.012","0.025","0.6","0.004","45","32"
"201711180200","강동구","0.015","0.022","0.5","0.004","41","19"
"201711180100","강동구","0.014","0.022","0.5","0.004","35","22"
"201711180000","강동구","0.016","0.022","0.5","0.004","44","22"
"201711172300","강동구","0.05","0.004","0.7","0.005","66","38"
"201711242300","강북구","0.023","0.014","0.5","0.003","14","9"
"201711242200","강북구","0.02","0.016","0.6","0.003","14","8"
"201711242100","강북구","0.02","0.018","0.5","0.003","18","9"
"201711242000","강북구","0.022","0.018","0.6","0.003","18","9"
"201711241900","강북구","0.02","0.021","0.6","0.003","13","6"
"201711241800","강북구","0.012","0.031","0.3","0.003","15","6"
"201711241700","강북구","0.007","0.036","0.3","0.004","20","7"
"201711241600","강북구","0.007","0.035","0.3","0.003","16","6"
"201711241500","강북구","0.006","0.035","0.3","0.004","14","6"
"201711241400","강북구","0.007","0.035","0.3","0.004","16","6"
"201711241300","강북구","0.009","0.032","0.3","0.004","15","8"
"201711241200","강북구","0.008","0.032","0.3","0.004","18","10"
"201711241100","강북구","0.035","0.014","0.6","0.004","35","22"
"201711241000","강북구","0.04","0.008","0.7","0.003","16","9"
"201711240900","강북구","0.024","0.008","0.6","0.003","16","8"
"201711240800","강북구","0.046","0.004","0.6","0.003","13","8"
"201711240700","강북구","0.026","0.006","0.5","0.002","11","5"
"201711240600","강북구","0.02","0.009","0.4","0.002","12","8"
"201711240500","강북구","0.016","0.012","0.4","0.002","12","10"
"201711240400","강북구","0.014","0.015","0.4","0.003","13","9"
"201711240300","강북구","0.013","0.021","0.4","0.002","16","11"
"201711240200","강북구","0.022","0.015","0.4","0.002","12","7"
"201711240100","강북구","0.028","0.011","0.4","0.002","14","7"
"201711240000","강북구","0.026","0.014","0.4","0.002","27","8"
"201711232300","강북구","0.015","0.026","0.3","0.003","15","4"
"201711232200","강북구","0.027","0.015","0.4","0.003","13","4"
"201711232100","강북구","0.023","0.015","0.5","0.003","16","6"
"201711232000","강북구","0.025","0.013","0.5","0.003","18","7"
"201711231900","강북구","0.03","0.013","0.5","0.003","18","8"
"201711231800","강북구","0.017","0.027","0.3","0.003","17","6"
"201711231700","강북구","0.01","0.033","0.3","0.003","18","4"
"201711231600","강북구","0.012","0.033","0.3","0.004","16","6"
"201711231500","강북구","0.008","0.034","0.3","0.004","23","10"
"201711231400","강북구","0.007","0.035","0.3","0.004","18","6"
"201711231300","강북구","0.007","0.036","0.3","0.004","15","6"
"201711231200","강북구","0.013","0.029","0.3","0.004","26","13"
"201711231100","강북구","0.03","0.018","0.5","0.005","24","8"
"201711231000","강북구","0.028","0.017","0.5","0.005","18","6"
"201711230900","강북구","0.011","0.028","0.3","0.003","31","9"
"201711230800","강북구","0.031","0.007","0.6","0.003","17","7"
"201711230700","강북구","0.026","0.01","0.6","0.003","14","9"
"201711230600","강북구","0.015","0.018","0.5","0.003","14","7"
"201711230500","강북구","0.016","0.019","0.4","0.003","17","8"
"201711230400","강북구","0.008","0.031","0.4","0.004","19","7"
"201711230300","강북구","0.008","0.032","0.4","0.004","21","8"
"201711230200","강북구","0.011","0.03","0.4","0.004","21","8"
"201711230100","강북구","0.011","0.032","0.4","0.004","21","7"
"201711230000","강북구","0.012","0.031","0.4","0.003","17","6"
"201711222300","강북구","0.009","0.034","0.3","0.004","17","4"
"201711222200","강북구","0.008","0.036","0.3","0.004","17","5"
"201711222100","강북구","0.007","0.036","0.3","0.004","15","4"
"201711222000","강북구","0.009","0.035","0.3","0.003","51","9"
"201711221900","강북구","0.01","0.037","0.3","0.004","115","27"
"201711221800","강북구","0.014","0.037","0.5","0.004","127","42"
"201711221700","강북구","0.017","0.042","0.6","0.005","106","49"
"201711221600","강북구","0.023","0.041","0.6","0.006","98","55"
"201711221500","강북구","0.041","0.027","0.7","0.006","89","53"
"201711221400","강북구","0.068","0.003","0.8","0.005","76","48"
"201711221300","강북구","0.063","0.005","0.8","0.005","76","50"
"201711221200","강북구","0.06","0.006","0.7","0.006","61","40"
"201711221100","강북구","0.059","0.006","0.8","0.005","54","35"
"201711221000","강북구","0.052","0.004","0.7","0.004","50","34"
"201711220900","강북구","0.044","0.003","0.8","0.003","54","35"
"201711220800","강북구","0.05","0.002","0.7","0.004","52","34"
"201711220700","강북구","0.053","0.002","0.8","0.004","57","38"
"201711220600","강북구","0.054","0.002","0.8","0.004","50","36"
"201711220500","강북구","0.053","0.002","0.8","0.004","52","35"
"201711220400","강북구","0.055","0.002","0.7","0.004","51","36"
"201711220300","강북구","0.055","0.002","0.8","0.004","56","38"
"201711220200","강북구","0.059","0.002","0.9","0.005","53","36"
"201711220100","강북구","0.062","0.002","1.1","0.005","54","33"
"201711220000","강북구","0.067","0.002","1.1","0.004","48","31"
"201711212300","강북구","0.065","0.003","1","0.004","54","32"
"201711212200","강북구","0.063","0.002","1.2","0.004","58","34"
"201711212100","강북구","0.064","0.002","0.8","0.004","60","36"
"201711212000","강북구","0.06","0.002","0.8","0.004","53","34"
"201711211900","강북구","0.056","0.002","0.8","0.004","48","29"
"201711211800","강북구","0.054","0.002","0.9","0.004","45","26"
"201711211700","강북구","0.052","0.005","0.8","0.004","50","27"
"201711211600","강북구","0.051","0.013","0.6","0.005","46","26"
"201711211500","강북구","0.051","0.013","0.6","0.005","51","28"
"201711211400","강북구","0.046","0.014","0.6","0.006","50","27"
"201711211300","강북구","0.044","0.014","0.6","0.005","51","30"
"201711211200","강북구","0.051","0.01","0.7","0.006","66","41"
"201711211100","강북구","0.066","0.007","1","0.006","80","52"
"201711211000","강북구","0.051","0.007","0.9","0.005","67","40"
"201711210900","강북구","0.048","0.005","1.1","0.004","49","26"
"201711210800","강북구","0.037","0.003","0.7","0.002","38","22"
"201711210700","강북구","0.034","0.003","0.8","0.002","40","23"
"201711210600","강북구","0.034","0.003","0.6","0.002","36","21"
"201711210500","강북구","0.027","0.009","0.5","0.003","28","17"
"201711210400","강북구","0.022","0.014","0.7","0.002","27","16"
"201711210300","강북구","0.028","0.009","0.6","0.002","27","17"
"201711210200","강북구","0.027","0.01","0.6","0.003","30","18"
"201711210100","강북구","0.037","0.004","0.6","0.003","34","21"
"201711210000","강북구","0.038","0.004","0.6","0.003","39","22"
"201711202300","강북구","0.047","0.002","0.8","0.003","44","23"
"201711202200","강북구","0.044","0.002","0.8","0.003","44","24"
"201711202100","강북구","0.049","0.002","0.8","0.003","50","29"
"201711202000","강북구","0.049","0.002","0.9","0.003","48","28"
"201711201900","강북구","0.051","0.002","0.7","0.004","56","29"
"201711201800","강북구","0.053","0.002","0.6","0.004","51","28"
"201711201700","강북구","0.05","0.005","0.6","0.004","44","26"
"201711201600","강북구","","","","","",""
"201711201500","강북구","","","","","",""
"201711201400","강북구","0.05","0.006","0.6","0.005","35","16"
"201711201300","강북구","0.049","0.007","0.6","0.005","37","20"
"201711201200","강북구","0.04","0.014","0.6","0.005","33","17"
"201711201100","강북구","0.044","0.013","0.6","0.005","42","20"
